Nodes;0.1_1.0;0.2_1.0_;0.3_1.0_;0.3_1.05;0.3_1.1_;0.35_1.05;0.35_1.1;0.4_1.0_;**0.3_1.0
26;417.21957678992914;416.02515371423357;414.01786201262468;413.73625238468662;413.70527683890009;412.88499293402492;412.94035984357214;412.54986798266725;394.15347006418153
27;490.0040755335146;480.96931739407137;482.50959597571068;482.19424623440062;482.69807092971604;480.72541949266383;478.5755697561894;479.79818563520075;460.28223089507901
28;490.0040755335146;480.96931739407137;482.50959597571068;482.19424623440062;482.69807092971604;480.72541949266383;478.5755697561894;479.79818563520075;460.28223089507901
29;657.273806024835;660.82290328112788;662.60414789677964;663.02525780465623;661.3113960010113;663.12092280370121;665.93865877217877;664.69974195379473;673.19140525969362
30;657.273806024835;660.82290328112788;662.60414789677964;663.02525780465623;661.3113960010113;663.12092280370121;665.93865877217877;664.69974195379473;673.19140525969362
31;278.5387635288426;284.36190224307853;288.03127814035184;288.47445458785836;288.94983876619438;290.0051280523719;290.48023659115626;290.79117151763711;310.56951359216089
32;278.5387635288426;284.36190224307853;288.03127814035184;288.47445458785836;288.94983876619438;290.0051280523719;290.48023659115626;290.79117151763711;310.56951359216089
33;289.0927634681335;294.53339496020709;297.52287007766688;297.89229548208601;298.28577617373031;299.13786340440407;299.56718441908981;299.83602042386252;326.2518680890426
34;289.0927634681335;294.53339496020709;297.52287007766688;297.89229548208601;298.28577617373031;299.13786340440407;299.56718441908981;299.83602042386252;326.2518680890426
35;280.12748049803434;286.61183560037381;289.16917949600162;289.587939396504;289.97738215215918;290.91264425801211;291.31529483627338;291.66101791520896;319.47192925369893
36;280.12748049803434;286.61183560037381;289.16917949600162;289.587939396504;289.97738215215918;290.91264425801211;291.31529483627338;291.66101791520896;319.47192925369893
37;292.1300252899134;297.46291003536328;299.14513284698415;299.47058041178889;299.85927658357605;300.5277641551491;300.84950564673909;301.16238598189733;333.15360496730722
38;292.1300252899134;297.46291003536328;299.14513284698415;299.47058041178889;299.85927658357605;300.5277641551491;300.84950564673909;301.16238598189733;333.15360496730722
39;278.5601116081915;284.97567562659088;288.72002263864636;289.27919113907757;289.61237202368557;290.60892287362174;291.04262611606424;291.45880476336401;319.13399334446336
